,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
245,Woo-yeong Jeong,€ 15.385,€ 800.000,Jun 30 2026,Stuttgart,24,F,AM,South Korea
246,Reece Oxford,€ 15.385,€ 800.000,Jun 30 2025,Augsburg,25,D,CB,England
247,Willian Pacho,€ 15.385,€ 800.000,Jun 30 2028,Eintracht Frankfurt,22,D,CB,Ecuador
248,Hugo Novoa,€ 15.385,€ 800.000,Jun 30 2025,Leipzig,21,D,RB,Spain
249,Michael Zetterer,€ 15.000,€ 780.000,Jun 30 2027,Werder Bremen,28,K,GK,Germany
250,David Nemeth,€ 15.000,€ 780.000,Jun 30 2026,St Pauli,23,D,CB,Austria
251,Oladapo Afolayan,€ 15.000,€ 780.000,Jun 30 2025,St Pauli,26,F,RW,England
252,Oscar Fraulo,€ 15.000,€ 780.000,Jun 30 2026,Monchengladbach,20,M,CM,Denmark
253,Philipp Hofmann,€ 15.000,€ 780.000,Jun 30 2026,Bochum,31,F,CF,Germany
254,Marvin Pieringer,€ 15.000,€ 780.000,Jun 30 2027,Heidenheim,24,F,CF,Germany
255,Dion Beljo,€ 14.615,€ 760.000,Jun 30 2027,Augsburg,22,F,CF,Croatia
256,Matej Kovar,€ 14.423,€ 750.000,Jun 30 2027,Bayer Leverkusen,24,K,GK,Czech Republic
257,Hugo Larsson,€ 14.423,€ 750.000,Jun 30 2028,Eintracht Frankfurt,20,M,CM,Sweden
258,Steven Skrzybski,€ 14.423,€ 750.000,Jun 30 2026,Holstein Kiel,31,F,AM,Germany
259,Olivier Deman,€ 14.423,€ 750.000,Jun 30 2028,Werder Bremen,24,M,LM,Belgium
260,Patrick Mainka,€ 14.423,€ 750.000,Jun 30 2027,Heidenheim,29,D,CB,Germany
261,Phillip Tietz,€ 14.423,€ 750.000,Jun 30 2027,Augsburg,26,F,CF,Germany
262,Marnon Busch,€ 14.423,€ 750.000,Jun 30 2027,Heidenheim,29,D,RB,Germany
263,Rocco Reitz,€ 13.846,€ 720.000,Jun 30 2028,Monchengladbach,22,M,CM,Germany
264,Roland Sallai,€ 13.846,€ 720.000,Jun 30 2025,Freiburg,27,F,RW,Hungary
265,Marco Friedl,€ 13.846,€ 720.000,Jun 30 2026,Werder Bremen,26,D,CB,Austria
266,Denis Thomalla,€ 13.846,€ 720.000,Jun 30 2025,Heidenheim,31,F,AM,Germany
267,Éric Ebimbe,€ 13.846,€ 720.000,Jun 30 2027,Eintracht Frankfurt,23,M,CM,France
268,Arthur,€ 13.846,€ 720.000,Jun 30 2028,Bayer Leverkusen,21,D,RB,Brazil
269,Matus Bero,€ 13.462,€ 700.000,Jun 30 2026,Bochum,28,M,CM,Slovakia
270,Niels Nkounkou,€ 13.462,€ 700.000,Jun 30 2028,Eintracht Frankfurt,23,D,LB,France
271,Junior Adamu,€ 13.462,€ 700.000,Jun 30 2025,Freiburg,23,F,CF,Austria
272,Masaya Okugawa,€ 13.462,€ 700.000,Jun 30 2026,Augsburg,28,F,LW,Japan
273,Jean-Mattéo Bahoya,€ 13.462,€ 700.000,Jun 30 2029,Eintracht Frankfurt,19,F,LW,France
274,Sven Michel,€ 13.269,€ 690.000,Jun 30 2025,Augsburg,33,F,CF,Germany
275,Philipp Lienhart,€ 13.077,€ 680.000,Jun 30 2025,Freiburg,27,D,CB,Austria
276,Simon Zoller,€ 12.692,€ 660.000,Jun 30 2025,St Pauli,33,F,CF,Germany
277,Benedikt Pichler,€ 12.500,€ 650.000,Jun 30 2027,Holstein Kiel,26,F,CF,Austria
278,Ömer Beyaz,€ 12.500,€ 650.000,Jun 30 2025,Stuttgart,20,F,AM,Turkey
279,Aurèle Amenda,€ 12.308,€ 640.000,Jun 30 2029,Eintracht Frankfurt,20,D,CB,Switzerland
280,Nikolas Nartey,€ 11.923,€ 620.000,Jun 30 2025,Stuttgart,24,M,CM,Denmark
281,Jens Stage,€ 11.538,€ 600.000,Jun 30 2026,Werder Bremen,27,M,CM,Denmark
282,Frans Krätzig,€ 11.538,€ 600.000,Jun 30 2025,Stuttgart,21,D,LB,Germany
283,Thomas Kastanaras,€ 11.538,€ 600.000,Jun 30 2026,Stuttgart,21,F,CF,Germany
284,Chris Bedia,€ 11.538,€ 600.000,Jun 30 2027,Union Berlin,28,F,CF,Cote d'Ivoire
285,Danilho Doekhi,€ 11.538,€ 600.000,Jun 30 2025,Union Berlin,26,D,CB,Netherlands
286,Amos Pieper,€ 11.538,€ 600.000,Jun 30 2026,Werder Bremen,26,D,CB,Germany
287,Luca Pfeiffer,€ 11.538,€ 600.000,Jun 30 2026,Stuttgart,27,F,CF,Germany
288,Patric Pfeiffer,€ 11.538,€ 600.000,Jun 30 2027,Augsburg,24,D,CB,Ghana
289,Maurides,€ 11.538,€ 600.000,Jun 30 2026,St Pauli,30,F,CF,Brazil
290,Robin Hack,€ 11.538,€ 600.000,Jun 30 2027,Monchengladbach,25,F,LW,Germany
291,Cristian Gamboa,€ 11.538,€ 600.000,Jun 30 2025,Bochum,34,D,RB,Costa Rica
292,Timo Becker,€ 11.346,€ 590.000,Jun 30 2025,Holstein Kiel,27,D,CB,Germany
293,Tymoteusz Puchacz,€ 11.154,€ 580.000,Jun 30 2025,Union Berlin,25,D,LB,Poland
294,Umut Tohumcu,€ 10.962,€ 570.000,Jun 30 2028,Hoffenheim,19,M,CM,Germany
295,Raphael Framberger,€ 10.962,€ 570.000,Jun 30 2025,Augsburg,28,D,RB,Germany
296,Niklas Lomb,€ 10.962,€ 570.000,Jun 30 2027,Bayer Leverkusen,30,K,GK,Germany
297,Fredrik Jensen,€ 10.769,€ 560.000,Jun 30 2025,Augsburg,26,F,AM,Finland
298,Nathanaël Mbuku,€ 10.769,€ 560.000,Jun 30 2027,Augsburg,22,F,LW,France
299,Irvin Cardona,€ 10.769,€ 560.000,Jun 30 2027,Augsburg,26,F,CF,France
300,Marvin Schulz,€ 10.577,€ 550.000,Jun 30 2025,Holstein Kiel,29,M,DM,Germany
301,Florent Muslija,€ 10.577,€ 550.000,Jun 30 2028,Freiburg,25,F,LW,Kosovo
302,Julian Justvan,€ 10.577,€ 550.000,Jun 30 2027,Hoffenheim,26,F,AM,Germany
303,Ansgar Knauff,€ 10.385,€ 540.000,Jun 30 2028,Eintracht Frankfurt,22,F,RW,Germany
